#"theta [deg]" "DeltaBLA [a0]" V_G V_E w
25 -0.056691783763735 0.001006670000152 0.003795577453752 -0.044697142567443
25 -0.037794522509157 0.000855515000239 0.004378984667568 -0.044441029873523
25 -0.018897261254579 0.000758165000207 0.004993814547202 -0.044196820676695
25 0 0.000714594999863 0.005628285271555 -0.043953086318729
25 0.018897261254578 0.000724815000012 0.006313950992848 -0.043738734627821
25 0.037794522509157 0.000788865000231 0.007022142626372 -0.043526346843588
25 0.056691783763735 0.000906835000023 0.00775161624742 -0.043313853610928
25 0.075589045018313 0.001078839999991 0.008535166301818 -0.043130674654157
25 0.094486306272891 0.001305029999912 0.009332473585342 -0.042938648426995
25 0.11338356752747 0.00158558000021 0.010185238120547 -0.042774956226637
25 0.132280828782048 0.001920690000134 0.011053890678398 -0.042602203670407
25 0.151178090036626 0.002310575000138 0.011965383139164 -0.042443907052699
25 0.170075351291204 0.002755490000254 0.012917603540865 -0.042297022247233
25 0.188972612545783 0.003255695000007 0.01390554544627 -0.042155779141163
25 0.207869873800361 0.003811495000264 0.014931128579945 -0.042021015335535
25 0.226767135054939 0.004423220000263 0.015993678803436 -0.041890721991728
30 -0.264561657564096 0.006790729999921 0.00274123021751 -0.047258813774304
30 -0.245664396309518 0.006020244999945 0.002888654219712 -0.046927675844549
30 -0.22676713505494 0.00530697000022 0.003068901893873 -0.046598061101533
30 -0.207869873800362 0.004650450000099 0.003286982889431 -0.046277621828571
30 -0.188972612545783 0.004050275000282 0.003538777838857 -0.045964882831694
30 -0.170075351291205 0.003506044999995 0.003825244375019 -0.045662669202856
30 -0.151178090036626 0.003017394999915 0.004143955087723 -0.045370179998814
30 -0.132280828782049 0.002584000000297 0.004502634020866 -0.045095952787262
30 -0.11338356752747 0.00220556000022 0.004885622445464 -0.044825728552474
30 -0.094486306272892 0.001881830000002 0.005299722655611 -0.044566538029111
30 -0.075589045018313 0.00161259000015 0.005745938503179 -0.044319239557848
30 -0.056691783763735 0.001397675000135 0.006212289883335 -0.044072453394881
30 -0.037794522509157 0.001236959999915 0.006732780548231 -0.043857647389401
30 -0.018897261254579 0.001130370000283 0.00726279063624 -0.04363236557352
30 0 0.001077865000298 0.007847640532395 -0.043438303960716
30 0.018897261254578 0.001079444999959 0.008443336565089 -0.043233601757098
30 0.037794522509157 0.001135150000209 0.009095040275686 -0.043059074648599
30 0.056691783763735 0.001245065000148 0.009768978334909 -0.042882669685363
30 0.075589045018313 0.001409299999978 0.010477920755861 -0.04271507855631
30 0.094486306272891 0.001627995000035 0.011216640285218 -0.042550594943714
30 0.11338356752747 0.001901330000237 0.011997069881393 -0.042398758536593
30 0.132280828782048 0.002229494999938 0.012812509647732 -0.04225273435436
30 0.151178090036626 0.002612705000047 0.013673782518069 -0.042120909754615
30 0.170075351291204 0.003051205000247 0.014568414615002 -0.041991109636526
30 0.188972612545783 0.003545250000116 0.015504258315524 -0.041869296960735
30 0.207869873800361 0.004095140000118 0.016480395384679 -0.04175374840344
30 0.226767135054939 0.004701195000052 0.017497626324163 -0.041643804243364
35 -0.264561657564096 0.00744431000021 0.00645713797759 -0.046312865044933
35 -0.245664396309518 0.006657630000063 0.006515190011644 -0.046002395993187
35 -0.22676713505494 0.00592858500022 0.006606765248022 -0.0457001933787
35 -0.207869873800362 0.005256715000087 0.006737976584385 -0.045413716426134
35 -0.188972612545783 0.004641600000014 0.006899230880486 -0.045134753594971
35 -0.170075351291205 0.00408283500019 0.007093392067853 -0.044866836620991
35 -0.151178090036626 0.003580054999929 0.007321056501146 -0.044611079235795
35 -0.132280828782049 0.003132920000098 0.007588452147932 -0.044373219858038
35 -0.11338356752747 0.002741130000231 0.007880921177743 -0.044139480018773
35 -0.094486306272892 0.002404419999948 0.008206106815234 -0.043916660182216
35 -0.075589045018313 0.002122575000158 0.00856536416516 -0.043705441952497
35 -0.056691783763735 0.00189542499993 0.008957388065722 -0.043504058624487
35 -0.037794522509157 0.001722835000237 0.009382383678928 -0.043311827875974
35 -0.018897261254579 0.001604720000159 0.009841909797434 -0.043129435280929
35 0 0.001541035000173 0.010336230452893 -0.042956301663942
35 0.018897261254578 0.001531774999876 0.010865758934305 -0.042791744205064
35 0.037794522509157 0.001576975000262 0.011432285154277 -0.042636467232179
35 0.056691783763735 0.001676710000083 0.012034822364927 -0.042488593005668
35 0.075589045018313 0.001831085000049 0.012665195824972 -0.042339606481616
35 0.094486306272891 0.002040244999989 0.013342511696062 -0.042206052555208
35 0.11338356752747 0.002304350000031 0.014058742168336 -0.04207949465499
35 0.132280828782048 0.002623594999932 0.01481304845493 -0.041957973049446
35 0.151178090036626 0.002998190000199 0.015608673896617 -0.041843869522612
35 0.170075351291204 0.003428370000165 0.016443421582891 -0.04173380638146
